"Kap1"	"Pol2ra"	"TCFL2"	"ZNF263"	"ELK4"	"CTCF_chr22"	"H3K4me3_chr22"
0.005	0	0.0714286	0.005	0.1	0.05	0.00534091
0.005	0.0255556	0.0714286	0.005	0.1	0.05	0.00534091
0.005	0.0511111	0.0714286	0.005	0.1	0.05	0.00534091
0.005	0.0511111	0.0714286	0.005	0.1	0.05	0.00534091
0.005	0.0511111	0.0714286	0.005	0.1	0.05	0.00534091
0.005	0.0511111	0.0714286	0.005	0.1	0.05	0.00534091
0.005	0.0511111	0.0714286	0.005	0.1	0.05	0.00534091
0.005	0.0511111	0.0714286	0.005	0.1	0.05	0.00534091
0.005	0.0511111	0.0714286	0.005	0.1	0.05	0.00534091
0.005	0.0511111	0.0714286	0.005	0.1	0.05	0.00534091
0.005	0.0511111	0.0714286	0.005	0.1	0.05	0.00534091
0.005	0.0511111	0.0714286	0.005	0.1	0.05	0.00534091
0.005	0.0511111	0.0714286	0.005	0.1	0.05	0.00534091
0.005	0.0511111	0.0714286	0.005	0.1	0.05	0.00534091
0.005	0.0511111	0.0714286	0.005	0.1	0.05	0.003920455
0.005	0.0511111	0.0714286	0.005	0.1	0.05	0.02333335
0.005	0.0511111	0.0714286	0.005	0.1	0.05	0.04416665
0.005	0.0511111	0.0714286	0.005	0.1	0.05	0.04416665
0.005	0.0511111	0.0714286	0.005	0.05	0.05	0.04416665
0.005	0.0511111	0.0714286	0.005	0.025	0	0.04416665
0.005	0.0511111	0.0714286	0.005	0.05	0	0.04416665
0.005	0.0511111	0.0714286	0.005	0.05	0.05	0.04416665
0.005	0.0511111	0.0714286	0.005	0.05	0.05	0.04416665
0.005	0.0511111	0.0714286	0.005	0.05	0.05	0.04416665
0.005	0.0511111	0.0714286	0.005	0.05	0.05	0.04416665
0.005	0.0511111	0.0714286	0.005	0.05	0.05	0.04416665
0.005	0.0511111	0.0714286	0.005	0.05	0.05	0.04416665
0.005	0.0511111	0.0714286	0.005	0.05	0.05	0.04416665
0.005	0.0511111	0.0714286	0.005	0.05	0.05	0.04416665
0.005	0.0511111	0.0714286	0.005	0.05	0.05	0.04416665
0.005	0.0511111	0.0714286	0.005	0.05	0.05	0.04416665
0.005	0.0511111	0.0714286	0.005	0.05	0.05	0.04416665
0.005	0.0511111	0.0714286	0.005	0.05	0.05	0.04416665
0.005	0.0511111	0.0714286	0.005	0.05	0.05	0.04416665
0.005	0.0511111	0.0714286	0.005	0.05	0.05	0.04416665
0.005	0.0511111	0.0714286	0.005	0.05	0.05	0.04416665
0.005	0.0511111	0.0714286	0.005	0.05	0.05	0.04416665
0.005	0.0511111	0.0714286	0.005	0.05	0.05	0.04416665
0.005	0.0511111	0.0357143	0.005	0.025	0.05	0.02333335
0	0.0511111	0.0277778	0	0.025	0.05	0.001420455
0	0.0511111	0.0555556	0	0.05	0.025	0.00284091
0.005	0.0511111	0.0555556	0.005	0.05	0.025	0.00534091
0.005	0.0511111	0.0555556	0.005	0.05	0.05	0.00534091
0.005	0.0511111	0.0555556	0.005	0.05	0.05	0.00534091
0.005	0.0511111	0.0555556	0.005	0.05	0.05	0.00534091
0.005	0.0511111	0.0555556	0.005	0.05	0.05	0.00534091
0.005	0.0511111	0.0555556	0.005	0.05	0.05	0.00534091
0.005	0.0511111	0.0555556	0.005	0.05	0.05	0.00534091
0.005	0.0511111	0.0555556	0.005	0.05	0.05	0.00534091
0.005	0.0511111	0.0555556	0.005	0.05	0.05	0.00534091
0.005	0.0511111	0.0555556	0.005	0.05	0.05	0.00534091
0.005	0.0511111	0.0555556	0.005	0.05	0.05	0.00534091
0.005	0.0511111	0.0555556	0.005	0.05	0.05	0.00534091
0.005	0.0511111	0.0555556	0.005	0.05	0.05	0.00534091
0.005	0.0511111	0.0555556	0.005	0.05	0.05	0.00534091
0.005	0.0511111	0.0555556	0.005	0.05	0.05	0.00534091
0.005	0.0511111	0.0555556	0.005	0.05	0.05	0.00534091
0.005	0.0511111	0.0555556	0.005	0.05	0.05	0.00534091
0.005	0.0511111	0.0555556	0.005	0.025	0.05	0.00534091
0.005	0.0511111	0.0555556	0.005	0.025	0.05	0.00534091
0.005	0.0511111	0.0555556	0.005	0.05	0.025	0.00534091
0.005	0.0511111	0.0555556	0.005	0.05	0.025	0.00534091
0.005	0.0511111	0.0555556	0.005	0.05	0.05	0.00534091
0.005	0.0511111	0.0555556	0.005	0.05	0.05	0.00534091
0.005	0.0511111	0.0555556	0.005	0.05	0.05	0.00534091
0.005	0.0511111	0.0555556	0.005	0.05	0.05	0.00534091
0.005	0.0511111	0.0555556	0.005	0.05	0.05	0.00534091
0.005	0.0511111	0.0555556	0.005	0.05	0.05	0.00534091
0.005	0.0511111	0.0555556	0.005	0.05	0.05	0.00534091
0.005	0.0511111	0.0555556	0.005	0.05	0.05	0.00534091
0.005	0.0511111	0.0555556	0.005	0.05	0.05	0.00534091
0.005	0.0511111	0.0555556	0.005	0.05	0.05	0.00534091
0.005	0.0511111	0.0555556	0.005	0.05	0.05	0.00534091
0.005	0.0511111	0.0555556	0.005	0.05	0.05	0.00534091
0.005	0.0511111	0.0277778	0.005	0.05	0.05	0.00534091
0.005	0.0511111	0.00769231	0.005	0.05	0.05	0.00534091
0.005	0.0511111	0.0153846	0.005	0.05	0.05	0.00534091
0.005	0.0511111	0.0153846	0.005	0.05	0.05	0.00534091
0.005	0.0511111	0.0153846	0.005	0.025	0.05	0.00534091
0.005	0.0511111	0.0153846	0.005	0.025	0.05	0.00534091
0.005	0.0511111	0.0153846	0.005	0.05	0.025	0.00534091
0.005	0.0511111	0.0153846	0.005	0.05	0.025	0.00534091
0.005	0.0511111	0.0153846	0.005	0.05	0.05	0.00534091
0.005	0.0511111	0.0153846	0.005	0.05	0.05	0.00534091
0.005	0.0511111	0.0153846	0.005	0.05	0.05	0.00534091
0.005	0.0511111	0.0153846	0.005	0.05	0.05	0.00534091
0.005	0.0511111	0.0153846	0.005	0.05	0.05	0.00534091
0.005	0.0511111	0.0153846	0.005	0.05	0.05	0.00534091
0.005	0.0511111	0.0153846	0.005	0.05	0.05	0.00534091
0.005	0.0511111	0.0153846	0.005	0.05	0.05	0.00534091
0.005	0.0255556	0.0153846	0.005	0.05	0.05	0.00534091
0.005	0	0.0153846	0.005	0.05	0.05	0.00534091
0.005	0	0.0153846	0.005	0.05	0.05	0.00534091
0.005	0	0.0153846	0.005	0.05	0.05	0.00534091
0.005	0	0.0153846	0.005	0.05	0.05	0.00534091
0.005	0	0.0153846	0.005	0.05	0.05	0.00534091
0.005	0	0.0153846	0.005	0.05	0.05	0.00534091
0.005	0	0.0153846	0.005	0.05	0.05	0.00534091
0.005	0	0.0153846	0.005	0.025	0.05	0.00534091
0.005	0	0.0153846	0.005	0.025	0.05	0.00534091
0.005	0	0.0153846	0.005	0.05	0.025	0.00534091
0.005	0	0.0153846	0.005	0.05	0.025	0.00534091
0.005	0	0.0153846	0.005	0.05	0.05	0.00534091
0.005	0	0.0153846	0.005	0.05	0.05	0.00534091
0.005	0	0.0153846	0.005	0.05	0.05	0.00534091
0.005	0	0.0153846	0.005	0.05	0.05	0.00534091
0.005	0	0.0153846	0.005	0.05	0.05	0.00534091
0.005	0	0.0153846	0.005	0.05	0.05	0.00534091
0.005	0	0.0153846	0.005	0.05	0.05	0.00534091
0.005	0	0.0153846	0.005	0.05	0.05	0.00534091
0.005	0	0.0153846	0.005	0.05	0.05	0.00534091
0.005	0	0.0153846	0.005	0.05	0.05	0.00534091
0.005	0	0.0153846	0.005	0.05	0.05	0.00534091
0.005	0	0.0153846	0.005	0.05	0.05	0.00534091
0.005	0	0.0153846	0.005	0.05	0.05	0.00534091
0.005	0	0.0153846	0.005	0.05	0.05	0.00534091
0.005	0	0.0153846	0.005	0.05	0.05	0.00534091
0.005	0	0.0153846	0.005	0.05	0.05	0.00534091
0.005	0	0.0153846	0.005	0.025	0.05	0.00534091
0.005	0	0.0153846	0.005	0.025	0.05	0.00534091
0.005	0	0.0153846	0.005	0.05	0.025	0.00534091
0.005	0	0.0153846	0.005	0.05	0.025	0.00534091
0.005	0	0.0153846	0.005	0.05	0.05	0.00534091
0.005	0	0.0153846	0.005	0.05	0.05	0.00534091
0.005	0	0.0153846	0.005	0.05	0.05	0.00534091
0.005	0	0.0153846	0.005	0.05	0.05	0.00534091
0.005	0	0.0153846	0.005	0.05	0.05	0.00534091
0.005	0	0.0153846	0.005	0.05	0.05	0.00534091
0.005	0	0.0153846	0.005	0.05	0.05	0.00534091
0.005	0	0.0153846	0.005	0.05	0.05	0.00534091
0.005	0	0.0153846	0.005	0.05	0.05	0.00534091
0.005	0	0.0153846	0.005	0.05	0.05	0.00534091
0.005	0	0.0153846	0.005	0.05	0.05	0.00534091
0.005	0	0.0153846	0.005	0.05	0.05	0.00534091
0.005	0	0.0153846	0.005	0.05	0.05	0.00534091
0.005	0	0.0153846	0.005	0.05	0.05	0.00534091
0.005	0	0.0153846	0.005	0.05	0.05	0.00534091
0.005	0	0.0153846	0.005	0.05	0.05	0.00534091
0.005	0	0.0153846	0.005	0.025	0.05	0.00534091
0.005	0	0.0153846	0.005	0.025	0.05	0.00534091
0.005	0	0.4	0.005	0.05	0.025	0.00534091
0.005	0	0.4	0.005	0.05	0.025	0.00534091
0.005	0	0.4	0.005	0.05	0.05	0.00534091
0.005	0	0.4	0.005	0.05	0.05	0.00534091
0.005	0	0.2	0.005	0.05	0.05	0.00534091
0.005	0	0.0288462	0.005	0.05	0.05	0.00534091
0.005	0	0.0576923	0.005	0.05	0.05	0.00534091
0.005	0	0.0576923	0.005	0.05	0.05	0.00534091
0.005	0	0.0576923	0.005	0.05	0.05	0.00534091
0.005	0	0.0576923	0.005	0.05	0.05	0.00534091
0.005	0	0.0576923	0.005	0.05	0.05	0.00534091
0.005	0	0.0576923	0.005	0.05	0.05	0.00534091
0.005	0	0.0576923	0.005	0.05	0.05	0.00534091
0.005	0	0.0576923	0.005	0.05	0.05	0.00534091
0.005	0	0.0576923	0.005	0.05	0.05	0.00534091
0.005	0	0.0576923	0.005	0.05	0.05	0.00534091
0.005	0	0.0576923	0.005	0.05	0.05	0.00534091
0.005	0	0.0576923	0.005	0.05	0.05	0.00534091
0.005	0	0.0576923	0.005	0.025	0.05	0.00534091
0.005	0	0.0576923	0.005	0.025	0.05	0.00534091
0.005	0	0.0576923	0.005	0.05	0.025	0.00534091
0.005	0	0.0576923	0.005	0.05	0.025	0.00534091
0.005	0	0.0576923	0.005	0.05	0.05	0.00534091
0.005	0	0.0576923	0.005	0.05	0.05	0.00534091
0.005	0	0.0576923	0.005	0.05	0.05	0.00534091
0.005	0	0.0576923	0.005	0.05	0.05	0.00534091
0.005	0	0.0576923	0.005	0.05	0.05	0.00534091
0.005	0	0.0576923	0.005	0.05	0.05	0.00534091
0.005	0	0.0576923	0.005	0.05	0.05	0.00534091
0.005	0	0.0576923	0.005	0.05	0.05	0.00534091
0.005	0	0.0576923	0.005	0.05	0.05	0.00534091
0.005	0	0.0576923	0.005	0.05	0.05	0.00534091
0.005	0	0.0576923	0.005	0.05	0.05	0.00534091
0.005	0	0.0576923	0.005	0.05	0.05	0.00534091
0.005	0	0.0576923	0.005	0.05	0.05	0.00534091
0.005	0	0.0576923	0.005	0.05	0.05	0.00534091
0.005	0	0.0576923	0.005	0.05	0.05	0.00534091
0.005	0	0.0576923	0.005	0.05	0.05	0.00534091
0.005	0	0.0576923	0.005	0.025	0.05	0.00534091
0.005	0	0.0576923	0.005	0.025	0.05	0.00534091
0.005	0	0.0576923	0.005	0.05	0.025	0.00534091
0.005	0	0.0576923	0.005	0.05	0.05	0.00534091
0.005	0	0.0576923	0.005	0.05	0.1	0.00534091
0.005	0	0.0576923	0.005	0.05	0.1	0.00534091
0.005	0	0.0576923	0.005	0.05	0.1	0.00534091
0.005	0	0.0576923	0.005	0.05	0.1	0.00534091
0.005	0	0.0576923	0.005	0.05	0.1	0.00534091
0.005	0	0.0576923	0.005	0.05	0.1	0.00534091
0.005	0	0.0576923	0.005	0.05	0.1	0.00534091
0.005	0	0.0576923	0.005	0.05	0.1	0.00534091
0.005	0	0.0576923	0.005	0.05	0.1	0.00534091
0.005	0	0.0576923	0.005	0.05	0.1	0.00534091
0.005	0	0.0576923	0.005	0.05	0.1	0.00534091
0.005	0	0.0576923	0.005	0.05	0.1	0.00534091
0.005	0	0.0576923	0.005	0.05	0.1	0.00534091
0.005	0	0.0576923	0.005	0.05	0.1	0.00534091
0.005	0	0.0288462	0.005	0.05	0.1	0.00534091
0.005	0	0.00699301	0.005	0.05	0.1	0.00534091
0.005	0	0.013986	0.005	0.05	0.1	0.00534091
0.005	0	0.013986	0.005	0	0.1	0.00534091
0.005	0	0.013986	0.005	0	0.0625	0.00534091
0.005	0	0.013986	0.005	0.05	0.025	0.00534091
0.005	0	0.013986	0.005	0.05	0.05	0.00534091
0.005	0	0.013986	0.005	0.05	0.075	0.00534091
0.005	0	0.013986	0.005	0.05	0.075	0.00534091
0.005	0	0.013986	0.005	0.05	0.075	0.00534091
0.005	0	0.013986	0.005	0.05	0.075	0.00534091
0.005	0	0.013986	0.005	0.05	0.075	0.00534091
0.005	0	0.013986	0.005	0.05	0.075	0.00534091
0.005	0	0.013986	0.005	0.05	0.075	0.00534091
0.005	0	0.013986	0.005	0.05	0.075	0.00534091
0.005	0	0.013986	0.005	0.05	0.075	0.00534091
0.005	0	0.013986	0.005	0.05	0.075	0.00534091
0.005	0	0.013986	0.005	0.05	0.075	0.00534091
0.005	0	0.013986	0.005	0.05	0.075	0.00534091
0.005	0	0.013986	0.005	0.05	0.075	0.0025
0.005	0	0.013986	0.005	0.05	0.075	0.0025
0.005	0	0.013986	0.005	0.05	0.075	0.005
0.005	0	0.013986	0.005	0.05	0.075	0.005
0.005	0	0.013986	0.005	0.05	0.075	0.005
0.005	0	0.013986	0.005	0.025	0.05	0.005
0.005	0	0.013986	0.005	0.025	0.05	0.005
0.005	0	0.013986	0.005	0.05	0.0625	0.005
0.005	0	0.013986	0.005	0.05	0.0625	0.005
0.005	0	0.013986	0.005	0.05	0.075	0.005
0.005	0	0.013986	0.005	0.05	0.075	0.005
0.005	0	0.013986	0.005	0.05	0.075	0.005
0.005	0	0.013986	0.005	0.05	0.075	0.005
0.005	0	0.013986	0.005	0.05	0.075	0.005
0.005	0	0.013986	0.005	0.05	0.075	0.005
0.005	0	0.013986	0.005	0.05	0.075	0.005
0.005	0	0.013986	0.005	0.05	0.075	0.005
0.005	0	0.013986	0.005	0.05	0.075	0.005
0.005	0	0.013986	0.005	0.05	0.075	0.005
0.005	0	0.013986	0.005	0.05	0.075	0.005
0.005	0	0.013986	0.005	0.05	0.075	0.005
0.005	0	0.013986	0.005	0.05	0.075	0.005
0.005	0	0.013986	0.005	0.05	0.075	0.005
0.005	0	0.013986	0.005	0.05	0.075	0.005
0.005	0	0.013986	0.005	0.05	0.075	0.005
0.005	0	0.013986	0.005	0.025	0.05	0.005
0	0	0.013986	0	0.025	0.05	0.0025
0	0	0.013986	0	0.05	0.0625	0.0025
0.0196078	0	0.013986	0.00561798	0.05	0.0625	0.005
0.0196078	0	0.013986	0.00561798	0.05	0.075	0.005
0.0196078	0	0.013986	0.00561798	0.05	0.075	0.005
0.0196078	0	0.013986	0.00561798	0.05	0.075	0.005
0.0196078	0	0.013986	0.00561798	0.05	0.075	0.005
0.0196078	0	0.013986	0.00561798	0.05	0.075	0.005
0.0196078	0	0.013986	0.00561798	0.05	0.075	0.005
0.0196078	0	0.013986	0.00561798	0.05	0.075	0.005
0.0196078	0	0.013986	0.00561798	0.05	0.075	0.005
0.0196078	0	0.013986	0.00561798	0.05	0.075	0.005
0.0196078	0	0.013986	0.00561798	0.05	0.075	0.005
0.0196078	0	0.013986	0.00561798	0.05	0.075	0.005
0.0196078	0	0.013986	0.00561798	0.05	0.075	0.005
0.0196078	0	0.013986	0.00561798	0.05	0.075	0.005
0.0196078	0	0.013986	0.00561798	0.05	0.075	0.005
0.0196078	0	0.013986	0.00561798	0.05	0.075	0.005
0.0196078	0	0.013986	0.00561798	0.05	0.075	0.005
0.0196078	0	0.013986	0.00561798	0.025	0.05	0.005
0.0196078	0	0.013986	0.00561798	0.025	0.05	0.005
0.0196078	0	0.013986	0.00561798	0.05	0.0625	0.005
0.0196078	0	0.013986	0.00561798	0.05	0.0625	0.005
0.0196078	0	0.013986	0.00561798	0.05	0.075	0.005
0.0196078	0	0.013986	0.00561798	0.05	0.075	0.005
0.0196078	0	0.013986	0.00561798	0.05	0.075	0.005
0.0196078	0	0.013986	0.00561798	0.05	0.075	0.005
0.0196078	0	0.013986	0.00561798	0.05	0.075	0.005
0.0196078	0	0.013986	0.00561798	0.05	0.075	0.005
0.0196078	0	0.013986	0.00561798	0.05	0.075	0.005
0.0196078	0	0.013986	0.00561798	0.05	0.075	0.005
0.0196078	0	0.013986	0.00561798	0.05	0.075	0.005
0.0196078	0	0.013986	0.00561798	0.05	0.075	0.005
0.0196078	0	0.013986	0.00561798	0.05	0.075	0.005
0.0196078	0	0.013986	0.00561798	0.05	0.075	0.005
0.0196078	0	0.013986	0.00561798	0.05	0.075	0.005
0.0196078	0	0.013986	0.00561798	0.05	0.075	0.005
0.0196078	0	0.013986	0.00561798	0.05	0.075	0.005
0.0196078	0	0.013986	0.00561798	0.05	0.075	0.005
0.0196078	0	0.013986	0.00561798	0.025	0.05	0.005
0.0196078	0	0.013986	0.00561798	0.025	0.05	0.005
0.0196078	0	0.013986	0.00561798	0.05	0.0625	0.005
0.0196078	0	0.013986	0.00561798	0.05	0.0625	0.005
0.0196078	0	0.013986	0.00561798	0.05	0.075	0.005
0.0196078	0	0.013986	0.00561798	0.05	0.075	0.005
0.0196078	0	0.013986	0.00561798	0.05	0.075	0.005
0.0196078	0	0.013986	0.00561798	0.05	0.075	0.005
0.0196078	0	0.013986	0.00561798	0.05	0.075	0.005
0.0196078	0	0.013986	0.00561798	0.05	0.075	0.005
0.0196078	0	0.013986	0.00561798	0.05	0.075	0.005
